;;Hromadný platobný príkaz pre SEPA úhrady;;;;;;;;;;;;;;;;;;;;;;
;Dátum odpísania penažných prostriedkov z úctu:;;;;;;;;;;;;;;;;;;;;;;;
;17.04.2023;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;IBAN platitela;SK8481600101020012519010;názov úctu platitela;;;;;;;;;;;;;;;;;;;;;
;IBAN príjemcu;názov úctu príjemcu;mena;ciastka;VS;KS;SS;identifikácia platby;;;;;;;;;;;;;;;;
;SK4081300000002112700000;Citibank Europe;EUR;30.000,00;;;;Prevod poh¾adávok;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
