;;Hromadný platobný príkaz pre SEPA úhrady;;;;;;;;;;;;;;;;;;;;;;
;Dátum odpísania penažných prostriedkov z úctu:;;;;;;;;;;;;;;;;;;;;;;;
;17.04.2023;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;IBAN platitela;SK2181600101020012615010;názov úctu platitela;;;;;;;;;;;;;;;;;;;;;
;IBAN príjemcu;názov úctu príjemcu;mena;ciastka;VS;KS;SS;identifikácia platby;;;;;;;;;;;;;;;;
;SK8211110000006600625052;CHEMOLAK a.s.;EUR;565 000,00;31411851;;;prevod;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;EUR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
